Date,Adj_close_imp
2012-01-03,50.765709
2012-01-04,51.038536
2012-01-05,51.605175
2012-01-06,52.14463
2012-01-09,52.061932
2012-01-10,52.248333
2012-01-11,52.163139
2012-01-12,52.019955
2012-01-13,51.824898
2012-01-16,51.76358966666666
2012-01-17,52.428562
2012-01-18,52.972977
2012-01-19,52.805092
2012-01-20,51.885387
2012-01-23,52.763115
2012-01-24,51.898972
2012-01-25,55.139496
2012-01-26,54.888889
2012-01-27,55.216022
2012-01-30,55.923389
2012-01-31,56.351761
2012-02-01,56.315968
2012-02-02,56.183865
2012-02-03,56.746796
2012-02-06,57.276386
2012-02-07,57.876339
2012-02-08,58.845402
2012-02-09,60.881111
2012-02-10,60.911942
2012-02-13,62.0452
2012-02-14,62.892056
2012-02-15,61.4366
2012-02-16,61.997032
2012-02-17,61.985954
2012-02-20,60.98573733333333
2012-02-21,63.557446
2012-02-22,63.334015
2012-02-23,63.747555
2012-02-24,64.49073
2012-02-27,64.904282
2012-02-28,66.095551
2012-02-29,66.963387
2012-03-01,67.213989
2012-03-02,67.301636
2012-03-05,65.817802
2012-03-06,65.459801
2012-03-07,65.512878
2012-03-08,66.907837
2012-03-09,67.300438
2012-03-12,68.143532
2012-03-13,70.13105
2012-03-14,72.782761
2012-03-15,72.286484
2012-03-16,72.287727
2012-03-19,74.204872
2012-03-20,74.804832
2012-03-21,74.377708
2012-03-22,73.98761
2012-03-23,73.581444
2012-03-26,74.930763
2012-03-27,75.856613
2012-03-28,76.244255
2012-03-29,75.286285
2012-03-30,74.013542
2012-04-02,76.368927
2012-04-03,77.688583
2012-04-04,77.070114
2012-04-05,78.22683
2012-04-06,76.18732355555557
2012-04-09,78.541626
2012-04-10,77.579979
2012-04-11,77.303429
2012-04-12,76.88002
2012-04-13,74.714745
2012-04-16,71.616173
2012-04-17,75.266533
2012-04-18,75.098648
2012-04-19,72.518593
2012-04-20,70.733521
2012-04-23,70.575485
2012-04-24,69.165718
2012-04-25,75.303566
2012-04-26,75.019646
2012-04-27,74.43943
2012-04-30,72.091446
2012-05-01,71.863052
2012-05-02,72.338333
2012-05-03,71.824791
2012-05-04,69.779243
2012-05-07,70.301445
2012-05-08,70.140945
2012-05-09,70.264397
2012-05-10,70.429832
2012-05-11,69.959488
2012-05-14,68.911415
2012-05-15,68.287987
2012-05-16,67.412743
2012-05-17,65.442513
2012-05-18,65.474609
2012-05-21,69.289162
2012-05-22,68.757088
2012-05-23,70.434761
2012-05-24,69.78791
2012-05-25,69.413841
2012-05-28,68.25562377777777
2012-05-29,70.645882
2012-05-30,71.497665
2012-05-31,71.319878
2012-06-01,69.253372
2012-06-04,69.660744
2012-06-05,69.480499
2012-06-06,70.545883
2012-06-07,70.577957
2012-06-08,71.639626
2012-06-11,70.510078
2012-06-12,71.126038
2012-06-13,70.632256
2012-06-14,70.554489
2012-06-15,70.875465
2012-06-18,72.313637
2012-06-19,72.514885
2012-06-20,72.308708
2012-06-21,71.312492
2012-06-22,71.85936
2012-06-25,70.460701
2012-06-26,70.616219
2012-06-27,70.92115
2012-06-28,70.248352
2012-06-29,72.093903
2012-07-02,73.145668
2012-07-03,73.996246
2012-07-04,71.62823233333333
2012-07-05,75.29615
2012-07-06,74.794975
2012-07-09,75.783798
2012-07-10,75.082603
2012-07-11,74.615967
2012-07-12,73.933273
2012-07-13,74.682602
2012-07-16,74.922119
2012-07-17,74.925812
2012-07-18,74.841896
2012-07-19,75.836884
2012-07-20,74.599937
2012-07-23,74.541885
2012-07-24,74.182663
2012-07-25,70.979172
2012-07-26,70.968056
2012-07-27,72.237114
2012-07-30,73.455574
2012-07-31,75.397385
2012-08-01,74.909775
2012-08-02,75.030754
2012-08-03,76.007233
2012-08-06,76.852821
2012-08-07,76.650383
2012-08-08,76.520775
2012-08-09,76.957161
2012-08-10,77.077438
2012-08-13,78.106461
2012-08-14,78.315979
2012-08-15,78.209335
2012-08-16,78.892494
2012-08-17,80.351715
2012-08-20,82.464294
2012-08-21,81.337326
2012-08-22,82.925507
2012-08-23,82.151878
2012-08-24,82.225029
2012-08-27,83.769806
2012-08-28,83.660683
2012-08-29,83.495804
2012-08-30,82.305595
2012-08-31,82.475456
2012-09-03,82.70523155555556
2012-09-04,83.681786
2012-09-05,83.094116
2012-09-06,83.842957
2012-09-07,84.359955
2012-09-10,82.16552
2012-09-11,81.898964
2012-09-12,83.039574
2012-09-13,84.674828
2012-09-14,85.703873
2012-09-17,86.75766
2012-09-18,87.021759
2012-09-19,87.045334
2012-09-20,86.623787
2012-09-21,86.796127
2012-09-24,85.643105
2012-09-25,83.504486
2012-09-26,82.468048
2012-09-27,84.469032
2012-09-28,82.706062
2012-10-01,81.750168
2012-10-02,81.988228
2012-10-03,83.245377
2012-10-04,82.668839
2012-10-05,80.907135
2012-10-08,79.119362
2012-10-09,78.831726
2012-10-10,79.459068
2012-10-11,77.870895
2012-10-12,78.070511
2012-10-15,78.696594
2012-10-16,80.559998
2012-10-17,79.91777
2012-10-18,78.433754
2012-10-19,75.607056
2012-10-22,78.606094
2012-10-23,76.043457
2012-10-24,76.473671
2012-10-25,75.569862
2012-10-26,74.883018
2012-10-29,77.34385333333333
2012-10-30,76.94183525
2012-10-31,73.806885
2012-11-01,73.958138
2012-11-02,71.510796
2012-11-05,72.480324
2012-11-06,72.260864
2012-11-07,69.495987
2012-11-08,66.97393
2012-11-09,68.133469
2012-11-12,67.606636
2012-11-13,67.615341
2012-11-14,66.865578
2012-11-15,65.463219
2012-11-16,65.719765
2012-11-19,70.458694
2012-11-20,69.858414
2012-11-21,69.956779
2012-11-22,67.96421055555555
2012-11-23,71.177345
2012-11-26,73.422874
2012-11-27,72.831291
2012-11-28,72.602112
2012-11-29,73.401703
2012-11-30,72.893555
2012-12-03,73.006874
2012-12-04,71.719093
2012-12-05,67.10347
2012-12-06,68.155861
2012-12-07,66.413506
2012-12-10,65.986305
2012-12-11,67.427284
2012-12-12,67.129616
2012-12-13,65.970093
2012-12-14,63.491661
2012-12-17,64.617569
2012-12-18,66.494446
2012-12-19,65.549156
2012-12-20,64.978737
